test_example_id,predicted_category
0,m
1,m
2,m
3,m
4,m
5,m
6,m
7,m
8,m
9,m
10,m
11,m
12,m
13,m
14,m
15,f
16,m
17,m
18,m
19,m
20,m
21,m
22,m
23,m
24,m
25,m
26,m
27,f
28,m
29,m
30,m
31,f
32,m
33,f
34,m
35,m
36,m
37,f
38,m
39,f
40,m
41,m
42,m
43,m
44,m
45,m
46,f
47,m
48,m
49,m
50,f
51,f
52,m
53,m
54,m
55,f
56,f
57,f
58,m
59,m
60,m
61,m
62,m
63,m
64,f
65,f
66,m
67,f
68,f
69,m
70,m
71,f
72,m
73,m
74,m
75,m
76,m
77,m
78,m
79,m
80,f
81,m
82,m
83,m
84,m
85,f
86,m
87,m
88,m
89,m
90,m
91,m
92,f
93,m
94,m
95,m
96,m
97,m
98,m
99,m
100,m
101,m
102,m
103,m
104,m
105,f
106,m
107,m
108,m
109,m
110,f
111,m
112,m
113,m
114,m
115,m
116,m
117,m
118,f
119,m
120,m
121,f
122,m
123,f
124,m
125,f
126,m
127,m
128,m
129,m
130,m
131,m
132,m
133,m
134,m
135,m
136,m
137,m
138,m
139,m
140,m
141,m
142,f
143,m
144,m
145,m
146,f
147,f
148,m
149,f
150,m
151,m
152,m
153,m
154,m
155,f
